state,county,date_stay_at_home_effective
Virginia,Buckingham,2020-03-30
Wisconsin,Juneau,2020-03-25
Puerto Rico,Patillas,NA
Nebraska,Garden,NA
Texas,Jeff Davis,2020-04-02
Colorado,Lincoln,2020-03-26
Georgia,Irwin,2020-04-03
Georgia,Quitman,2020-04-03
Illinois,Clay,2020-03-21
Illinois,Morgan,2020-03-21
Illinois,Ogle,2020-03-21
Maine,Androscoggin,2020-04-02
Maine,Hancock,2020-04-02
Minnesota,Wright,2020-03-27
Missouri,Pulaski,2020-04-06
New Hampshire,Coos,2020-03-27
New York,Washington,2020-03-22
Texas,Wichita,2020-04-02
Utah,Emery,NA
Virginia,Botetourt,2020-03-30
North Dakota,Griggs,NA
Oklahoma,Roger Mills,NA
California,Marin,2020-03-19
California,Santa Cruz,2020-03-19
Colorado,Broomfield,2020-03-26
Connecticut,Middlesex,2020-03-23
Illinois,Crawford,2020-03-21
Indiana,Pike,2020-03-24
Kentucky,Gallatin,2020-03-26
Louisiana,Allen,2020-03-23
Louisiana,Claiborne,2020-03-23
Maine,Piscataquis,2020-04-02
Minnesota,Morrison,2020-03-27
Montana,Stillwater,2020-03-28
Oklahoma,Pottawatomie,NA
Virginia,Arlington,2020-03-30
North Carolina,Swain,2020-03-30
Texas,Cochran,2020-04-02
New Mexico,Hidalgo,2020-03-24
Wyoming,Weston,NA
Arkansas,Miller,NA
California,Riverside,2020-03-19
California,Stanislaus,2020-03-19
Florida,Madison,2020-04-03
Georgia,Dawson,2020-04-03
Indiana,Jennings,2020-03-24
Michigan,Marquette,2020-03-24
Minnesota,Faribault,2020-03-27
New Jersey,Ocean,2020-03-21
Texas,Grimes,2020-04-02
Texas,Hunt,2020-04-02
Texas,Johnson,2020-04-02
Texas,Knox,2020-04-02
Texas,Shelby,2020-04-02
California,Mariposa,2020-03-19
Puerto Rico,Gurabo,NA
Puerto Rico,Vega Alta,NA
Montana,Rosebud,2020-03-28
Alabama,Blount,2020-04-04
Alabama,Tuscaloosa,2020-04-04
Arkansas,Baxter,NA
Georgia,Oconee,2020-04-03
Indiana,Jasper,2020-03-24
Iowa,Adair,NA
Iowa,Linn,NA
Kentucky,Adair,2020-03-26
New Mexico,Colfax,2020-03-24
Ohio,Pickaway,2020-03-23
Oklahoma,Comanche,NA
Oregon,Malheur,2020-03-23
South Dakota,Marshall,NA
Texas,Chambers,2020-04-02
Texas,Hansford,2020-04-02
Texas,Live Oak,2020-04-02
Virginia,Newport News city,2020-03-30
Virginia,Wise,2020-03-30
Puerto Rico,Quebradillas,NA
Georgia,Lamar,2020-04-03
Georgia,Stewart,2020-04-03
Kansas,Hamilton,2020-03-30
Mississippi,Lee,2020-04-03
Nebraska,Douglas,NA
South Dakota,Hamlin,NA
South Dakota,Lake,NA
Virginia,Fairfax,2020-03-30
South Dakota,Douglas,NA
Missouri,Grundy,2020-04-06
Arkansas,Woodruff,NA
Georgia,Ware,2020-04-03
Idaho,Valley,2020-03-25
Illinois,Calhoun,2020-03-21
Kentucky,Green,2020-03-26
Minnesota,Big Stone,2020-03-27
Mississippi,Warren,2020-04-03
Montana,Beaverhead,2020-03-28
New Jersey,Monmouth,2020-03-21
North Carolina,Pamlico,2020-03-30
Texas,Parmer,2020-04-02
West Virginia,Taylor,2020-03-24
Wyoming,Sheridan,NA
Iowa,Davis,NA
Kentucky,Wolfe,2020-03-26
California,Santa Clara,2020-03-19
Georgia,McDuffie,2020-04-03
Idaho,Blaine,2020-03-25
Iowa,Poweshiek,NA
Maine,Lincoln,2020-04-02
Michigan,Barry,2020-03-24
Montana,Golden Valley,2020-03-28
Nebraska,Howard,NA
Texas,Delta,2020-04-02
Texas,Howard,2020-04-02
Texas,Panola,2020-04-02
Virginia,Rappahannock,2020-03-30
Texas,Shackelford,2020-04-02
Virginia,Martinsville city,2020-03-30
South Dakota,Edmunds,NA
Alabama,Escambia,2020-04-04
Alabama,Henry,2020-04-04
Florida,Manatee,2020-04-03
Illinois,Macon,2020-03-21
Illinois,Washington,2020-03-21
Iowa,Benton,NA
Iowa,Jones,NA
Kentucky,Jefferson,2020-03-26
Mississippi,Montgomery,2020-04-03
Mississippi,Yazoo,2020-04-03
Missouri,Atchison,2020-04-06
Missouri,Scott,2020-04-06
Nebraska,Dakota,NA
Nevada,Churchill,2020-04-01
North Carolina,McDowell,2020-03-30
North Dakota,Nelson,NA
Oklahoma,Choctaw,NA
Rhode Island,Washington,2020-03-28
Iowa,Monroe,NA
Arkansas,Hempstead,NA
Illinois,LaSalle,2020-03-21
Illinois,Lawrence,2020-03-21
Indiana,Carroll,2020-03-24
Indiana,Monroe,2020-03-24
Kentucky,Henry,2020-03-26
Nevada,Lyon,2020-04-01
Oklahoma,Ottawa,NA
Pennsylvania,Delaware,2020-04-01
Pennsylvania,Northampton,2020-04-01
South Carolina,Greenwood,NA
Tennessee,Grainger,2020-03-31
Texas,Fayette,2020-04-02
South Dakota,Grant,NA
North Dakota,Golden Valley,NA
Illinois,Franklin,2020-03-21
Illinois,Henderson,2020-03-21
Indiana,Dearborn,2020-03-24
Kansas,Douglas,2020-03-30
Michigan,Clinton,2020-03-24
Missouri,St. Charles,2020-04-06
North Carolina,Bladen,2020-03-30
Ohio,Ottawa,2020-03-23
Tennessee,Davidson,2020-03-31
Tennessee,Henderson,2020-03-31
Virginia,Hanover,2020-03-30
Kansas,Meade,2020-03-30
Kentucky,Harlan,2020-03-26
Kansas,Ness,2020-03-30
Michigan,Iron,2020-03-24
Colorado,Kiowa,2020-03-26
Alabama,Crenshaw,2020-04-04
Illinois,Ford,2020-03-21
Iowa,Taylor,NA
Kansas,Lyon,2020-03-30
Maryland,Frederick,2020-03-30
Texas,Jefferson,2020-04-02
Alaska,Valdez-Cordova Census Area,2020-03-28
Arkansas,Bradley,NA
Colorado,Mineral,2020-03-26
Georgia,Forsyth,2020-04-03
Indiana,Clinton,2020-03-24
Indiana,Noble,2020-03-24
Kentucky,Lewis,2020-03-26
New Mexico,Chaves,2020-03-24
North Carolina,Durham,2020-03-30
Oklahoma,Harper,NA
Oklahoma,McIntosh,NA
Virginia,Fluvanna,2020-03-30
Wisconsin,Sheboygan,2020-03-25
Alabama,Cullman,2020-04-04
Delaware,New Castle,2020-03-24
Indiana,Elkhart,2020-03-24
Mississippi,Humphreys,2020-04-03
Missouri,Madison,2020-04-06
New Mexico,Lea,2020-03-24
North Dakota,Oliver,NA
Texas,Burleson,2020-04-02
Colorado,Conejos,2020-03-26
Minnesota,Wadena,2020-03-27
Puerto Rico,Aguas Buenas,NA
Nebraska,Perkins,NA
Washington,Garfield,2020-03-23
Arkansas,Greene,NA
Georgia,Banks,2020-04-03
Kentucky,McLean,2020-03-26
Minnesota,Red Lake,2020-03-27
Nebraska,Madison,NA
New York,Lewis,2020-03-22
Ohio,Clark,2020-03-23
Oklahoma,Washington,NA
Texas,Fort Bend,2020-04-02
Texas,Webb,2020-04-02
Vermont,Rutland,2020-03-24
Virginia,Halifax,2020-03-30
Washington,Chelan,2020-03-23
Missouri,Monroe,2020-04-06
California,San Francisco,2020-03-19
Indiana,Benton,2020-03-24
Iowa,Polk,NA
Kansas,Pratt,2020-03-30
Mississippi,Sharkey,2020-04-03
New Mexico,Curry,2020-03-24
North Carolina,Pender,2020-03-30
Ohio,Hardin,2020-03-23
Oklahoma,Cherokee,NA
Virginia,Giles,2020-03-30
Washington,Wahkiakum,2020-03-23
West Virginia,Wetzel,2020-03-24
Puerto Rico,Camuy,NA
Puerto Rico,Catano,NA
Puerto Rico,Vega Baja,NA
Alaska,North Slope Borough,2020-03-28
Alabama,Butler,2020-04-04
Florida,St. Johns,2020-04-03
Georgia,Fannin,2020-04-03
Indiana,Porter,2020-03-24
Iowa,Cass,NA
Louisiana,Winn,2020-03-23
Michigan,Hillsdale,2020-03-24
Minnesota,Pipestone,2020-03-27
Missouri,Crawford,2020-04-06
Nebraska,Lincoln,NA
North Carolina,Pasquotank,2020-03-30
Pennsylvania,Franklin,2020-04-01
South Carolina,Cherokee,NA
South Dakota,Hyde,NA
Texas,Rains,2020-04-02
Wyoming,Sweetwater,NA
North Dakota,Wells,NA
Georgia,Catoosa,2020-04-03
Indiana,Fountain,2020-03-24
Indiana,Wayne,2020-03-24
Iowa,Hamilton,NA
Kansas,Ottawa,2020-03-30
Maryland,Washington,2020-03-30
New Mexico,Socorro,2020-03-24
New Mexico,Taos,2020-03-24
Oklahoma,Murray,NA
Pennsylvania,Carbon,2020-04-01
Pennsylvania,Snyder,2020-04-01
Texas,Lampasas,2020-04-02
Nebraska,Garfield,NA
Missouri,Ozark,2020-04-06
California,Merced,2020-03-19
Florida,Lafayette,2020-04-03
Georgia,Crawford,2020-04-03
Georgia,Greene,2020-04-03
Georgia,White,2020-04-03
Indiana,Newton,2020-03-24
Kansas,Coffey,2020-03-30
Kansas,Jewell,2020-03-30
Kansas,Sherman,2020-03-30
Kentucky,Menifee,2020-03-26
Kentucky,Whitley,2020-03-26
Louisiana,St. Helena,2020-03-23
Massachusetts,Worcester,2020-03-24
Minnesota,Le Sueur,2020-03-27
Oregon,Washington,2020-03-23
Tennessee,Cheatham,2020-03-31
Montana,Mineral,2020-03-28
Alabama,Marion,2020-04-04
Arkansas,Izard,NA
Indiana,Vermillion,2020-03-24
Iowa,Guthrie,NA
Louisiana,Terrebonne,2020-03-23
Oklahoma,Caddo,NA
Oklahoma,Muskogee,NA
Tennessee,Weakley,2020-03-31
Texas,Bailey,2020-04-02
Texas,Reagan,2020-04-02
Montana,Fallon,2020-03-28
Oregon,Wheeler,2020-03-23
Alabama,Houston,2020-04-04
Arkansas,Howard,NA
Arkansas,Saline,NA
California,Yuba,2020-03-19
Colorado,Gunnison,2020-03-26
Kansas,Saline,2020-03-30
Missouri,Osage,2020-04-06
Missouri,Platte,2020-04-06
North Carolina,Watauga,2020-03-30
Texas,Bastrop,2020-04-02
Texas,Fannin,2020-04-02
Utah,Sanpete,NA
West Virginia,Wyoming,2020-03-24
Puerto Rico,Salinas,NA
Utah,Daggett,NA
Alabama,Baldwin,2020-04-04
Arizona,Graham,2020-03-31
Arizona,Navajo,2020-03-31
California,El Dorado,2020-03-19
Georgia,Dougherty,2020-04-03
Georgia,Douglas,2020-04-03
Illinois,Gallatin,2020-03-21
Illinois,Peoria,2020-03-21
Indiana,LaPorte,2020-03-24
Kansas,Bourbon,2020-03-30
Kentucky,Grant,2020-03-26
Nebraska,Sarpy,NA
New York,Franklin,2020-03-22
Ohio,Monroe,2020-03-23
South Carolina,Pickens,NA
Texas,Concho,2020-04-02
Virginia,New Kent,2020-03-30
Washington,Kittitas,2020-03-23
Wisconsin,Florence,2020-03-25
Wyoming,Hot Springs,NA
Arkansas,Scott,NA
Florida,Baker,2020-04-03
Georgia,Muscogee,2020-04-03
Illinois,Cumberland,2020-03-21
Illinois,Pike,2020-03-21
Missouri,Iron,2020-04-06
Missouri,Marion,2020-04-06
Oklahoma,Oklahoma,NA
Pennsylvania,Armstrong,2020-04-01
Pennsylvania,Indiana,2020-04-01
South Dakota,Lawrence,NA
Texas,Gillespie,2020-04-02
Texas,Mitchell,2020-04-02
Texas,Nueces,2020-04-02
Texas,Waller,2020-04-02
Utah,Tooele,NA
Virginia,Charles City,2020-03-30
Virginia,Lunenburg,2020-03-30
Virginia,Scott,2020-03-30
West Virginia,Putnam,2020-03-24
Arkansas,Montgomery,NA
North Dakota,Adams,NA
Kansas,Republic,2020-03-30
Minnesota,Kandiyohi,2020-03-27
Montana,Deer Lodge,2020-03-28
Nebraska,Franklin,NA
Ohio,Fairfield,2020-03-23
Ohio,Harrison,2020-03-23
Oklahoma,Jackson,NA
West Virginia,Preston,2020-03-24
Wisconsin,Jefferson,2020-03-25
Alaska,Bristol Bay Borough,2020-03-28
Idaho,Franklin,2020-03-25
Nebraska,McPherson,NA
California,Mendocino,2020-03-19
Colorado,Eagle,2020-03-26
Georgia,Glynn,2020-04-03
Kansas,Reno,2020-03-30
Maine,Penobscot,2020-04-02
Maine,York,2020-04-02
Ohio,Huron,2020-03-23
South Carolina,Oconee,NA
Tennessee,Giles,2020-03-31
Tennessee,Sullivan,2020-03-31
Texas,Brazoria,2020-04-02
Texas,Camp,2020-04-02
Wisconsin,Walworth,2020-03-25
South Dakota,Bennett,NA
Idaho,Clark,2020-03-25
Illinois,Carroll,2020-03-21
Iowa,Webster,NA
Michigan,Kent,2020-03-24
Mississippi,Calhoun,2020-04-03
Nebraska,Colfax,NA
North Carolina,Jones,2020-03-30
Ohio,Clermont,2020-03-23
Oklahoma,Sequoyah,NA
Pennsylvania,Erie,2020-04-01
South Carolina,Clarendon,NA
South Dakota,Aurora,NA
Tennessee,Montgomery,2020-03-31
Texas,Dimmit,2020-04-02
Virginia,Cumberland,2020-03-30
Wisconsin,Eau Claire,2020-03-25
Missouri,Knox,2020-04-06
Montana,Phillips,2020-03-28
California,Fresno,2020-03-19
California,Madera,2020-03-19
Indiana,Jefferson,2020-03-24
Iowa,Howard,NA
Minnesota,Brown,2020-03-27
Minnesota,Carlton,2020-03-27
Minnesota,Clearwater,2020-03-27
Minnesota,Norman,2020-03-27
Minnesota,Sherburne,2020-03-27
New Jersey,Cumberland,2020-03-21
North Carolina,Bertie,2020-03-30
North Carolina,Clay,2020-03-30
North Carolina,Onslow,2020-03-30
North Carolina,Pitt,2020-03-30
South Carolina,Marion,NA
Tennessee,Bradley,2020-03-31
Tennessee,Williamson,2020-03-31
Texas,Randall,2020-04-02
Texas,Wharton,2020-04-02
West Virginia,Wayne,2020-03-24
Alabama,Pike,2020-04-04
Arkansas,Ashley,NA
Arkansas,Cleburne,NA
Colorado,Fremont,2020-03-26
Florida,Gilchrist,2020-04-03
Illinois,Jasper,2020-03-21
Kentucky,Floyd,2020-03-26
Mississippi,Covington,2020-04-03
Missouri,Dallas,2020-04-06
Nebraska,Furnas,NA
Nevada,Washoe,2020-04-01
New Jersey,Gloucester,2020-03-21
New York,Essex,2020-03-22
Tennessee,White,2020-03-31
Virginia,Danville city,2020-03-30
Nebraska,Holt,NA
Puerto Rico,Ceiba,NA
Arkansas,Pike,NA
Arkansas,Sevier,NA
Florida,DeSoto,2020-04-03
Hawaii,Maui,2020-03-25
Idaho,Bonner,2020-03-25
Kentucky,Jackson,2020-03-26
Kentucky,Powell,2020-03-26
Montana,Roosevelt,2020-03-28
Oklahoma,Rogers,NA
Oregon,Lane,2020-03-23
Pennsylvania,Venango,2020-04-01
Texas,Kleberg,2020-04-02
Texas,Sabine,2020-04-02
Wisconsin,Trempealeau,2020-03-25
Colorado,Bent,2020-03-26
Nebraska,Fillmore,NA
Texas,Hall,2020-04-02
West Virginia,Doddridge,2020-03-24
Georgia,Wheeler,2020-04-03
Kansas,Jackson,2020-03-30
Kansas,Jefferson,2020-03-30
Missouri,Holt,2020-04-06
Nebraska,Pierce,NA
North Carolina,Alleghany,2020-03-30
North Carolina,Iredell,2020-03-30
North Dakota,Barnes,NA
Pennsylvania,Adams,2020-04-01
Tennessee,Blount,2020-03-31
Texas,Erath,2020-04-02
Texas,Cottle,2020-04-02
Texas,Kenedy,2020-04-02
Connecticut,Litchfield,2020-03-23
Delaware,Kent,2020-03-24
Maryland,Caroline,2020-03-30
Minnesota,Mille Lacs,2020-03-27
North Carolina,Perquimans,2020-03-30
North Carolina,Warren,2020-03-30
North Carolina,Washington,2020-03-30
Oklahoma,Lincoln,NA
South Carolina,Aiken,NA
South Carolina,McCormick,NA
Virginia,Caroline,2020-03-30
Idaho,Shoshone,2020-03-25
California,Humboldt,2020-03-19
Colorado,Summit,2020-03-26
Georgia,Seminole,2020-04-03
Georgia,Twiggs,2020-04-03
Illinois,Mason,2020-03-21
Illinois,McHenry,2020-03-21
Indiana,Crawford,2020-03-24
Kentucky,Henderson,2020-03-26
Maryland,Cecil,2020-03-30
Massachusetts,Franklin,2020-03-24
Minnesota,Fillmore,2020-03-27
Mississippi,Alcorn,2020-04-03
Missouri,Benton,2020-04-06
New York,Niagara,2020-03-22
Ohio,Putnam,2020-03-23
Oklahoma,Marshall,NA
Pennsylvania,Fayette,2020-04-01
South Carolina,Hampton,NA
South Carolina,Lee,NA
Tennessee,Dyer,2020-03-31
Vermont,Orleans,2020-03-24
Wisconsin,Bayfield,2020-03-25
Wyoming,Washakie,NA
Puerto Rico,Barranquitas,NA
Colorado,Dolores,2020-03-26
California,Kings,2020-03-19
Florida,Hendry,2020-04-03
Georgia,Bibb,2020-04-03
Georgia,Effingham,2020-04-03
Georgia,Upson,2020-04-03
Indiana,Boone,2020-03-24
Kentucky,Taylor,2020-03-26
Michigan,Iosco,2020-03-24
New York,Steuben,2020-03-22
South Dakota,Miner,NA
Tennessee,Haywood,2020-03-31
Texas,Ellis,2020-04-02
Texas,Polk,2020-04-02
Virginia,Salem city,2020-03-30
Minnesota,Lake,2020-03-27
Utah,Beaver,NA
Arizona,Pinal,2020-03-31
California,San Luis Obispo,2020-03-19
Georgia,Calhoun,2020-04-03
Indiana,Harrison,2020-03-24
Kentucky,Hopkins,2020-03-26
Michigan,Mackinac,2020-03-24
Mississippi,Washington,2020-04-03
Nebraska,Seward,NA
New York,Montgomery,2020-03-22
North Dakota,Walsh,NA
Ohio,Clinton,2020-03-23
South Carolina,Orangeburg,NA
Texas,Hood,2020-04-02
Texas,Lamar,2020-04-02
Vermont,Addison,2020-03-24
Virginia,Lee,2020-03-30
Virginia,Rockingham,2020-03-30
Wisconsin,St. Croix,2020-03-25
Alaska,Kusilvak Census Area,2020-03-28
Kansas,Butler,2020-03-30
Kansas,Labette,2020-03-30
Kansas,Wyandotte,2020-03-30
Louisiana,Acadia,2020-03-23
Louisiana,East Baton Rouge,2020-03-23
Mississippi,Winston,2020-04-03
Ohio,Trumbull,2020-03-23
Pennsylvania,Union,2020-04-01
Tennessee,Tipton,2020-03-31
Texas,Bandera,2020-04-02
Texas,Duval,2020-04-02
Utah,San Juan,NA
Virginia,Staunton city,2020-03-30
Washington,Franklin,2020-03-23
West Virginia,Morgan,2020-03-24
Oklahoma,Pushmataha,NA
West Virginia,Pocahontas,2020-03-24
Arkansas,Phillips,NA
Florida,Gulf,2020-04-03
Idaho,Twin Falls,2020-03-25
Michigan,Dickinson,2020-03-24
Michigan,Montcalm,2020-03-24
Minnesota,Hennepin,2020-03-27
Nebraska,Cass,NA
Ohio,Erie,2020-03-23
Tennessee,Hickman,2020-03-31
Tennessee,Lawrence,2020-03-31
Washington,Pend Oreille,2020-03-23
Wisconsin,Chippewa,2020-03-25
Illinois,Putnam,2020-03-21
Missouri,Putnam,2020-04-06
Alabama,Covington,2020-04-04
Florida,Union,2020-04-03
Georgia,Coffee,2020-04-03
Georgia,Murray,2020-04-03
Indiana,Wabash,2020-03-24
Missouri,Clay,2020-04-06
Nebraska,Box Butte,NA
North Carolina,Lenoir,2020-03-30
North Carolina,Scotland,2020-03-30
North Carolina,Tyrrell,2020-03-30
Ohio,Greene,2020-03-23
Texas,Calhoun,2020-04-02
